source_text,translated_text
Please pay less than or equal to the due amount,يرجى الدفع بمبلغ أقل من أو يساوي المبلغ المستحق
Please request phone payment or use other payment method,يرجى طلب الدفع عبر الهاتف أو استخدام طريقة دفع أخرى
Please select address type,يرجى اختيار نوع العنوان
Please set customer mobile number,يرجى تحديد رقم هاتف العميل
POS Profile,ملف نقطة البيع
Posting Date,تاريخ الترحيل
Previous Orders,الطلبات السابقة
Priority customer,عميل مميز
Purchase Order,أمر الشراء
Purchase Order Date,تاريخ أمر الشراء
QTY,الكمية
Quantity,الكمية
Rate,السعر
Receipt Number,رقم الإيصال
Receipt Number is required,رقم الإيصال مطلوب
Redeem Credit,استرداد الرصيد
Redeemed Customer Credit,رصيد العميل المسترد
Redeemed credit cannot be greater than its total.,لا يمكن أن يتجاوز الرصيد المسترد إجماليه.
Referance Number,رقم المرجع
Referral Code,رمز الإحالة
Request,طلب
Restrict access if needed,تقييد الوصول عند الحاجة
Sales Person,مندوب المبيعات
Sales Person not found,مندوب المبيعات غير موجود
Search Items,البحث عن المنتجات
Search by item code\, serial number\, batch no or barcode,البحث برمز المنتج أو الرقم التسلسلي أو الدفعة أو الباركود
Shift ended. Please close the shift; selling is blocked until then.,انتهت الوردية. يرجى إغلاق الوردية؛ البيع محظور حتى ذلك الحين.
Shift Closing,إغلاق الوردية
State,المحافظة
Status,الحالة
Submit,إرسال
Submit & Print,إرسال وطباعة
Table No,رقم الطاولة
TAX ID,الرقم الضريبي
Tailor this order without changing your flow.,خصص هذا الطلب دون تغيير سير العمل.
Tax and Charges,الضرائب والرسوم
Territory,المنطقة
Territory not found,المنطقة غير موجودة
The amount paid is not complete,المبلغ المدفوع غير مكتمل
This Customer is VIP,هذا العميل عميل مميز
This Customer is in Black List,هذا العميل في القائمة السوداء
To Be Paid,المبلغ المتبقي
Total,الإجمالي
Total Amount,إجمالي المبلغ
Total Qty,إجمالي الكمية
Qty, الكمية
Item,المنتج
Notes,ملاحظات
Type,النوع
Type of Payment,نوع الدفع
Unique Number,الرقم المميز
Update Customer,تحديث العميل
Use Customer Credit,استخدام رصيد العميل
VIP,عميل مميز
View Complaints,عرض الشكاوى
Waiting for payment...,في انتظار الدفع...
Write Off Difference Amount,شطب مبلغ الفرق
Yes\, Submit,نعم\, إرسال
You can redeem credit upto,يمكنك استرداد الرصيد حتى
You can redeem customer credit up to {0},يمكنك استرداد رصيد العميل حتى {0}
You can redeem upto,يمكنك الاسترداد حتى
Your closing is over by {0}.,مبلغ الإغلاق لديك أعلى بـ {0}.
Your closing is short by {0}.,مبلغ الإغلاق لديك أقل بـ {0}.
1 EGP Coins,عملات معدنية 1 جنيه
5 EGP Notes,أوراق نقدية 5 جنيه
10 EGP Notes,أوراق نقدية 10 جنيه
20 EGP Notes,أوراق نقدية 20 جنيه
50 EGP Notes,أوراق نقدية 50 جنيه
100 EGP Notes,أوراق نقدية 100 جنيه
200 EGP Notes,أوراق نقدية 200 جنيه
Cash closing amount ({0}) must match denominations total ({1}),مبلغ إغلاق النقد ({0}) يجب أن يتطابق مع مجموع الفئات ({1})
Thank you! Your closing is correct.,شكراً! بيانات الإغلاق صحيحة.
Customize your order,خصص طلبك
Customize,خصص
add notes for meal,اضافة ملاحظات للوجبة
add to order,اضافة إلى الطلب
CALL CENTER, خدمه العملاء
Save/New,حفظ/جديد 
Coupons, كوبونات
Advanced Payment, دفع متقدم
Create Complaint, إنشاء شكوى
Items Selected, المنتجات المختارة
Held, مرفوض
POS, نقطة بيع
Review bundle components before confirming the order.,راجع مكونات الباقة قبل تأكيد الطلب 
Filter by Date, تصفية حسب التاريخ
Assign Driver, تعيين سائق
Actions, عمليات
Total, إجمالي
Status, الحالة
Driver Phone,رقم السائق
Talabat Number,رقم طلبات
Order Type,نوع الطلب
Transaction Date,تاريخ المعاملة 
Branch,الفرع
Mobile No,رقم الهاتف
Customer,العميل
Order,الطلب
Confirm Password,تأكيد كلمة المرور
Enter Your Password,أدخل كلمة المرور
Confirm,تأكيد
Password is incorrect. Please try again.,كلمة المرور غير صحيحة. يرجى المحاولة مرة أخرى.
Sales Order and linked invoices cancelled successfully.,تم إلغاء أمر البيع والفواتير المرتبطة بنجاح.
Error cancelling order.,خطأ في إلغاء الطلب.
Failed to update status.,فشل تحديث الحالة.
No linked Sales Invoice found for this order.,لم يتم العثور على فاتورة مبيعات مرتبطة بهذا الطلب.
Add To Kitchen,إضافة إلى المطبخ
Order No.,رقم الطلب
Talabat No.,رقم طلبات
Table Number,رقم الطاولة
Payment Outstanding,مدفوعات معلقة
Enter Bank Payment Code,أدخل رمز الدفع البنكي
Bank Payment Code is required,رمز الدفع البنكي مطلوب
Order #,رقم الطلب
Phone,الهاتف
Payment Entry,قيد الدفع
Invoice,الفاتورة
Reason for rejection,سبب الرفض
Reject Payment,رفض الدفع
Confirm Reject,تأكيد الرفض
Search Driver,البحث عن سائق
Spicy,حار
Regular,عادي
Select Driver,اختر سائق
Give Item,المنتج الهدية
Search by Name,البحث بالاسم
Search by Mobile,البحث برقم الهاتف
Done,تم
Select,اختيار
Search,بحث
Add,إضافة
From Date,من تاريخ
To Date,إلى تاريخ
Stock QTY,كمية المخزون
Stock UOM,وحدة قياس المخزون
Serial No QTY,كمية الرقم التسلسلي
Serial No,الرقم التسلسلي
Batch No. Available QTY,الكمية المتاحة للدفعة
Items Discounts,خصومات المنتجات
Price list Rate,سعر قائمة الأسعار
Offer Applied,تم تطبيق العرض
Group,المجموعة
Tax ID,الرقم الضريبي
Full Name,الاسم الكامل
Invoice ID,رقم الفاتورة
Order ID,رقم الطلب
Coupon,كوبون
